Titel|Autoren|Schriftenreihe|Kategorien|Publikationsdatum|Verlag|Seiten|ISBN
Compiler|Alfred V. Aho, Monica S. Lam, Ravi Sethi, Jeffrey D. Ullman||Compiler|2008|Pearson Deutschland GmbH|1253|9783827370976
Complicity|Iain Banks||Detective and mystery stories|1994|Little Brown|313|9780349105710
Computer Architecture. A Quantitative Approach|John L. Hennessy, David A. Patterson||Informatik|2007|Morgan Kaufmann|704|9780123704900
Computer Security|William Stallings, Lawrie Brown||Computer networks|2012|Pearson|810|9780273764496
Computerarchitektur . Strukturen, Konzepte, Grundlagen (Pearson Studium - IT)|Andrew Tanenbaum, James Goodman||Informatik|2001|Pearson Studium|784|9783827370167
Computergeschichte(n): Die ersten Jahre des PC|Bernd Leitenberger|||14/11/2014|Books on Demand|368|9783735782106
Computerschach - Schachcomputer|Christian; Reinemann Posthoff|||1987|Akademie-Verlag|206|3055002288
Confusion|Neal Stephenson, Juliane Gräbener-Müller|||2008||1017|9783442466627
Consider Phlebas|Iain Banks||Imaginary wars and battles|1987|Orbit Books|471|9781857231380
Constantia von Cosel|Gabriele Hoffmann||Fiction|1988|BASTEI LÜBBE|561|9783404611188
Conviva Ludibundus|Johanna Braun, Günter Braun|||1982|Das neue Berlin|195|
Cryptanalysis|Helen F. Gaines||Games & Activities, Kryptographie|1956|Courier Corporation|237|9780486200972
Cryptanalysis for Microcomputers: With BASIC Programmes to Make and Break Coded Messages and Puzzles|Caxton Foster||Kryptographie|1982|Hayden Book Co Inc.,U.S.|346|0810451743
Cryptography Engineering|Niels Ferguson, Bruce Schneier, Tadayoshi Kohno||Computers, Kryptographie|15/03/2010|Wiley|384|9780470474242
Cryptonomicon|Neal Stephenson||Fiction|05/11/2002|Harper Collins|1168|9780060512804
Da haben wir die Wirtschaft|Hugo Mohr|||1990|Deutscher Instituts-Verlag GmbH|37|
Das (Taschen) Buch Otto|Otto Waalkes|||1986|Heyne|253|3453020901
Das Altenburger Land|AK|Werte unserer Heimat (Band 23)||1977|Akademie-Verlag|245|
Das Auditorium Coelicum am Dom zu Erfurt|Joachim Meisner|Erfurter Theologische Schriften (Band 6)||1962|St.Benno-Verlag, Leipzig|104|
Das Boot|Lothar-Günther Buchheim||Militaria|1993|Piper|603|9783492218009
Das Buch der Labyrinthfische|Hans-Joachim Richter||Aquaristik|1979|Neumann Verlag Leipzig Radebeul|164|
Das Buch Mormon|Kirche Jesu Christi der Heiligen der Letzten Tage|||1985||542|3922834159
Das Bärenreich|Wjatscheslaw Schichkow|||1951|Alfred Holz Verlag Berlin|96|
Das Dilbert-Prinzip: Die endgültige Wahrheit über Chefs, Konferenzen, Manager und andere Martyrien|Scott Adams|||1997|MI|330|347835630X
Das dunkle Muster (Heyne Science Fiction und Fantasy (06))|Philip J Farmer|||10/1997|Heyne|0|3-453-30613-9
Das Erbe der Phaetonen|Georgi Martynow|||1964|Verlag Kultur und Fortschritt, Berlin|517|
Das fabelhafte Telefon. Wahre Lügengeschichten für Groß und Klein. Mit neuen Texten|Gianni Rodari, Marianne Schneider|||2002|Wagenbach, K/KNO VA|144|3803112079
Das Fiasko|Stanislaw Lem|||1979|Volk & Welt, Berlin 1989.,|0|3-353-00158-1
Das fremde Hirn|Klaus Frühauf|Kompaß-Bücherei (Band 297)||1984|Neues Leben, Berlin|275|
Das Friedhofsherz|Roger Zelazny|||1993|Heyne|86|345306609X
Das Frühstücksei: Gesammelte dramatische Geschichten mit Doktor Klöbner und Herrn Müller-Lüdenscheidt, Herrn und Frau Hoppenstedt, Erwin Lindemann u.v.a. (Kunst)|Loriot|||2003|Diogenes|288|3257020813
Das Geheimnis der Krypta|Carl Amery|||01/08/1990|List Hardcover|375|3-471-77019-4
Das Geheimnis der Sonnensteine : phantastischer Roman.|Michael Szameit|Kompaß-Bücherei (Band 383)||1989|Verlag Neues Leben Berlin|284|3355009628
Das Geheimnis der Titanic|Robert D. Ballard, Rick Archbold|||01/01/1995|Ullstein Tb||9783548232805
Das Gilgamesch-Epos: Der älteste überlieferte Mythos der Geschichte|Herman Ranke||||Marix Verlag|128|9783865390806
