Titel|Autoren|Schriftenreihe|Kategorien|Publikationsdatum|Verlag|Seiten|ISBN
Der Mann aus Cyrene|François Alwyn Venter|||1965|St.Benno-Verlag, Leipzig|342|
Der Mann ohne jede Idee. Erzählungen.|Thomas M. Disch|||04/1993|Heyne Verlag|299|3-453-05015-0
Der Mann und das Holz|Lars Mytting|||27/10/2019|Insel Verlag GmbH|222|9783458364641
Der Pate|Mario Puzo|||2004|Weltbild|464|9783898970945
Der Planet des Todes|Stanisław Lem|||1960|Volk und Welt, Berlin|280|
Der purpurne Planet|Karl-Heinz Tuschel|Kompaß-Bücherei (Band 230)||1971|Verlag Neues Leben Berlin|296|
Der Quastenflosser. Die abenteuerliche Geschichte der Entdeckung eines lebenden Fossils|Samantha Weinberg|||01/06/2001|Fischer|251|9783596150892
Der Quotensachse|Matthias Biskupek|||1998|Ullstein Tb|254|9783548243665
Der Riese vom Storvalen|Wolf Spillner||Juvenile Fiction|17/04/2015|EDITION digital|33|9783956553349
Der Russische Bürgerkrieg 1917–1922 (Kriege der Moderne)|Hannes Leidinger|||2020|Reclam Philipp Jun.|159|9783150113080
Der Samenbankraub|Gert Prokop|||1985|Das neue Berlin|423|
Der Schnupfen|Stanislaw Lem|||1979|Volk und Welt, Berlin|202|
Der Schockwellenreiter|John Brunner|||1979||300|3-453-30584-1
Der Schreiber Bartleby|Herman Melville|Bibliothek von Babel||1989|Goldmann TB|78|9783442093229
Der Seelenfänger|Harold Robbins|||1982|Bertelsmann Club GmbH|357|
Der stille Don|Michail Scholochow|||1966|Verlag Volk und Welt Berlin|523|3353000836
Der stille Don 1|Michail Scholochow|||1966|Verlag Volk und Welt Berlin|418|3353000798
Der stille Don 2|Michail Scholochow|||1966|Verlag Volk und Welt Berlin|414|3353000801
Der stille Don 3|Michail Scholochow|||1966|Verlag Volk und Welt Berlin|456|3353000828
Der Sturz|Andert Herzberg|||1990|Berlin / Weimar, Aufbau Vlg.,|455|3351020600
Der Südpol schmilzt|J. und S. Safronow||SF|1960|Verlag Kultur und Fortschritt, Berlin|208|
Der Tag des Opritschniks|Vladimir G. Sorokin|||2008||220|9783462039238
Der Tod einer Stadt|Frank Herbert|||1994|Heyne|890|9783453079533
Der Tunnel|Bernhard Kellermann|||1958|Verlag für fremdsprachige Literatur, Moskau|376|
Der Unbesiegbare|Stanislaw Lem||||Volk und Welt, Berlin|231|
Der ungarische Zauberwürfel|Wolfgang Hintze||Mathematik|1983|VEB Deutscher Verlag der Wissenschaften, Berlin|140|
Der Untergang der Stadt Passau|Carl Amery|||1995|Heyne|128|9783453303324
Der verbotene Stadtteil: Stasi-Sperrbezirk Berlin-Hohenschönhausen|Peter Erler, Hubertus Knabe|||2005|Jaron Verlag GmbH|96|9783897735064
Der versteinerte Wald von Karl-Marx-Stadt|Gerald Urban||Paleontology|1982|Museum für Naturkunde|44|
Der wahre E|Klaus-Peter Möller||Militaria|2000|Lukas Verlag|334|9783931836221
Der Waldkönig. Eine Erzählung aus dem Erzgebirge|Karl May|||1990||0|3730306154
Der Weg zum künftigen Vaterland der Deutschen|Walter Ulbricht|||1966|Dietz Verlag Berlin|62|
Der Wüstenplanet-Zyklus in 6 Bänden. Band 1: Der Wüstenplanet. Band 2: Der Herr des Wüstenplaneten. Band 3: Die Kinder des Wüstenplaneten. Band 4: Der Gottkaiser des Wüstenplaneten. Band 5: Die Ketzer des Wüstenplaneten. Band 6: Die Ordensburg des Wüstenplaneten.|Frank Herbert|||1995|Weltbildverlag,|0|3-453-02092-8
Der Wüstenplanet: Enzyklopädie, Band 2|Frank Herbert, Willis E. McNelly|||10/1999|Heyne|570|9783453311077
Der Zirkel|Dietrich Schwanitz|||2000|Goldmann Verlag|445|9783442443482
Der Überdruss (Unionsverlag Taschenbücher)|Mo Yan, Martina Hasse||||Unionsverlag|800|9783293205888
Deutsch-deutsche Erinnerungen|Alexander Schalck-Golodkowski|||01/01/2001|Rowohlt Tb.|349|9783499611636
Deutsche Dampfzüge|Hans Faust, Günther Feuereißen|||12/1995|Gondrom Verlag GmbH|224|9783811210110
Deutsche Heldensagen|Anon,|||1992|W. Fischer, Remseck|316|9783439910171
Deutsche Kirchenlieder|Adolf Müller, Alfred Stier|||1934|Verlag der sächsischen Posaunenmission|64|
Deutschland umsonst. Zu Fuß und ohne Geld durch ein Wohlstandsland.|Michael Holzach|||01/07/1993|Ullstein Taschenbuchvlg.|251|3548342728
Die 68er Bewegung|Ingrid Gilcher-Holtey||Nineteen sixty-eight, A.D.|2001|C.H.Beck|135|9783406479830
Die 68erinnen: Porträt einer rebellischen Frauengeneration|Ute Kätzel|||12/03/2002|Rowohlt Berlin|320|3871344478
Die Abenteuer des Werner Holt. Roman einer Heimkehr|Dieter Noll|||1986|Aufbau-Verlag Berlin|503|
Die Abenteuer des Werner Holt. Roman einer Jugend|Dieter Noll|||1986|Aufbau-Verlag Berlin|563|
Die Abholzung : Roman.|Franz Josef Degenhardt|||1987|Berlin , Weimar : Aufbau-Verlag,|288|3351003811
Die Abwicklung: Eine innere Geschichte des neuen Amerika|George Packer, Gregor Hens|||24/07/2014|S. FISCHER|512|9783100001573
Die alte Erzgebirgsbahn|Claus Schlegel||Eisenbahn|1992|Geiger-Verlag - eine Marke der LINUS WITTICH Medien KG|168|389264683X
Die Alternative - Zur Kritik des real existierenden Sozialismus|Rudolf Bahro|||1977|Europäische Verlagsanstalt|542|3434003533
Die Anwendung des Seiles in Fels und Eis|Pit Schubert|||01/1998|Bergverlag Rother|191|9783763360826
Die Aula|Hermann A.K. Jung|||1981|Rütten & Loening Berlin|464|
Die Bibel für Dummies|Jeffrey Geoghegan, Michael Homan|||20/03/2006|Wiley-VCH Verlag GmbH & Co. KGaA|430|9783527702534
Die Birnen von Ribbeck|Friedrich Christian Delius|||01/02/2013|Rowohlt Taschenbuch|80|9783499259944
Die botanische Exkursion|Sven Linnartz|||2007|Quelle & Meyer|135|9783494014333
Die Botschaft der Steine|Jochen Helms|||1985|Verlag Neues Leben Berlin|316|
Die Briefe vom Weihnachtsmann.|J.R.R. Tolkien|||01/11/2002|Klett-Cotta|48|9783608934359
Die Brücke.|Iain Banks, Rosemarie Hundertmarck||||Heyne|393|9783453039063
Die da drüben. Sieben Kapitel DDR|Irene Böhme, Wasja Götze|||1984|Rotbuch Verlag|128|3880222657
Die Dampfmaschine (3 Bände in 4 Büchern)|Max Friedrich Gutermuth|||1984|Transpress, Berlin|0|
Die deutsche Frage in Europa 1800-1990|Wolf D. Gruner||||Piper|1993|9783492116800
Die Differenz-Maschine|William Gibson, Bruce Sterling||Computers|01/1992|Heyne|572|9783453053809
Die Eisenbahnhubbrücke Karnin|Hans-Ulrich Bauer||Eisenbahn|2012|Igel Insel Geschichte(n) Land & Leute|106|9783981037173
Die elektrische Überland-Straßenbahn Hohenstein-Ernstthal-Gersdorf-Lugau-Oelsnitz (Erzgeb.)|Heinz Schönherr, Lothar Schilde||Eisenbahn|1988|"Modelleisenbahn-Club ""Glück-Auf"""|39|
Die Elstertalbahn: Die Geschichte der Hauptbahn von Gera nach Weischlitz|Georg Thielmann||Eisenbahn|2003|Wachsenburgverlag|128|3935795025
Die Entdeckung der Langsamkeit|Sten Nadolny|||1983|Piper|359|9783492107006
Die Entwicklung des Sozialismus von der Utopie zur Wissenschaft|Friedrich Engels|||1959|Verlag Philipp Reclam jun. Leipzig|91|
Die Entwicklungsgeschichte der Erde: Brockhaus Nachschlagewerk Geologie|Rudolf (Hrsg.) Hohl|||1981|Brockhaus, F A|703|3325001009
Die Erben der Sonne, Band 1: Die Maske des Todes|Didier Convard|||1988|Carlsen|48|9783551028914
Die Erben der Sonne, Band 2: Der Prophet des Sandes|Didier Convard|||1988|Carlsen Verlag|48|9783551028921
Die Erben der Sonne, Band 3: Das Geheimnis der alten Witwe|Didier Convard|||1989|Carlsen Verlag|48|9783551028938
Die Erben der Sonne, Band 4: Schatten der Liebe|Didier Convard|||1990|Carlsen Verlag|48|9783551028945
Die erstaunlichen Gerätschaften des Herrn Orffyreus|Niels Brunse|||2007|Sammlung Luchterhand|319|9783630621197
Die Erzählungen|Gabriel García Márquez|||2008|Kiepenheuer & Witsch GmbH|351|9783462040456
Die Falle des Gargancjan|Stanislaw Lem|||1986|Reclam|293|3-379-00020-5
Die Festung|Lothar-Günther Buchheim||Militaria|09/1996|Hoffmann u Campe Vlg GmbH|1469|3455007333
Die Flußwelt der Zeit|Philip José Farmer|||1994|Heyne|251|9783453074170
Die Foundation-Trilogie|Isaac Asimov||Life on other planets|2006|Heyne|904|9783453164178
Die Garnison Zwickau im Frieden und im Krieg|Norbert Peschke||Garrisons|2006|Sutton|126|9783866800083
Die Geburt einer Stahlratte. Erster Roman des Stahlratten-Zyklus.|Harry Harrison|||03/1995|Heyne|284|9783453024991
Die gefesselte Zeit.|R., THIELE|||1984|Leipzig, Urania, 1987.|215|3332000802
"Die geheime Geschichte der Digedags: Die Publikations- und Zensurgeschichte des ""Mosaik"" von Hannes Hegen"|Mark Lehmstedt|||2010|Lehmstedt Verlag|432|9783937146997
Die geheime Sprache des Erfolgs|David Lewis|||1992|Heyne|311|3453053621
Die Geschichte der Stunde. Uhren und moderne Zeitordnungen|Gerhard Dohrn- van Rossum|||2007|Anaconda|552|9783866471399
Die Geschichte der Wolken: 99 Meditationen|Hans Magnus Enzensberger|||2003|Suhrkamp Verlag AG|152|3518413910
Die Geschäfte des Herrn Morgenstern|Gerhard Zwerenz||Satire, German|1980|Universitas-Verlag|281|3800408864
Die goldene Kette|Alexander Grin|Kompaß-Bücherei (Band 328)||1985|Neues Leben, Berlin|176|
Die Gotteshäuser im Kirchspiel Flemmingen (Der kleine sakrale Kunstführer)|Günter Hummel, Barbara Löwe, Frank Reinhold, G Bär, Evangelische Erwachsenenbildung Altenburger Akademie|||2005|Beier & Beran|89|3937517375
Die großen Fünf: Mathematische Theorien, die unser Jahrhundert prägten|John L. Casti, G. Menzel, Benno Zimmermann||Mathematik|1996|Birkhäuser|223|9783764353384
Die Haarteppichknüpfer|Andreas Eschbach||German fiction|1998|Heyne|323|9783453133181
Die Hand - Geniestreich der Evolution|Frank R. Wilson|||01/01/2002|Rowohlt Tb.||9783499613388
Die Hanse|Johannes Schildhauer, Konrad Fritze, Walter Stark|||1981|VEB Deutscher Verlag der Wissenschaften, Berlin|252|3888512042
Die Hexenmacher|Robin Briggs|||1998|Argon|559|3870244488
Die hohe Schule der Fotografie.: Das berühmte Standardwerk|Andreas Feininger|||1961|Heyne TB|364|9783453412194
Die Hyperion-Gesänge|Dan Simmons|||2004|Heyne Verlag|1449|9783453215283
Die Intellektuellen|Werner Mittenzwei||German literature|2003|Aufbau Taschenbuch|563|9783746681009
Die Jagd|Stanislaw Lem|||1972|Volk und Welt, Berlin|320|
Die Jury: Roman|John Grisham|||2010|Heyne Verlag|620|9783453061187
Die Jäger des roten Mondes / Die Flüchtlinge des roten Mondes|Marion Zimmer Bradley|||01/06/1995|Ullstein|520|9783548236803
Die Kinder Húrins|J. R. R. Tolkien|||12/2012|Klett-Cotta Verlag|333|9783608960419
Die Kinder Húrins|J. R. R. Tolkien||Fantasy fiction|2007|Klett-Cotta|333|9783608936032
Die Klaviermusik|Peter Hollfelder||Music|1999|Nikol Vlgs.-Ges., Hamburg|1005|9783933203120
Die Kosmonauten|Richard David Precht|||2009|Goldmann Verlag|413|9783442472215
Die Kreutzersonate. Nachwort von H. Lorenz.|Leo N. Tolstoi|||1999|Eduard Kaiser Verlag.||9783704310545
Die Kunst des klaren Denkens|Rolf Dobelli|||01/05/2014|dtv Verlagsgesellschaft|256|9783423348263
Die kürzeste Geschichte allen Lebens: Eine Reportage über 13,7 Milliarden Jahre Werden und Vergehen|Harald Lesch, Harald Zaun|||01/08/2008|Piper|224|9783492050937
Die Legende von Sigurd und Gudrún|J. R. R. Tolkien||Fantasy poetry|2010|Klett-Cotta|559|9783608937954
Die Leipzig-Dresdner Eisenbahn. Anfänge und Gegenwart einer Hundertfünfzigjährigen|Rolf (Hrsg.) Bayer||Eisenbahn|1989|Verlag für Verkehrswesen|232|3344003542
Die letzte Legende der Erde|A. A. Attanasio|||01/10/1991|Bastei Lübbe|576|9783404241484
Die Liebeskunst|Ovid|Reclams Universal Bibliothek (Band 303)||1974|Philipp Reclam jun. Leipzig|118|
Die Macht der Drei|Hans Dominik|||1955|Ernst Keils Nachfolger Berlin|359|
Die Mathematik des Naturforschers und Ingenieurs. Band 1: Differential- und Integralrechnung|Bernhard Baule||Mathematik|1963|S. Hirzel Verlag, Leipzig|187|
Die Matufflis|Ulrich Sturm, Thomas Schmitt|||1994|Eulenspiegel|48|9783359007326
Die Matufflis. Kneteraudch auf der Knolle|Ulrich Sturm, Thomas Schmitt|||1994||48|9783359007500
Die Messung des Augenblicks: Wie die genaue Zeit nach Glashütte kam (Publikationsreihe des Deutschen Uhrenmuseums Glashütte)|Stiftung Deutsches Uhrenmuseum Glashütte, Herbert Dittrich|||2008|Sandstein Kommunikation|120|9783940319371
Die Motorradweltmeister der Königsklasse: Alle 500er- und MotoGP-Champions seit 1949|Michael Scott|||2009|Delius Klasing|208|9783768852890
Die Mutter|Maxim Gorki|||1945|Mundos-Verlag AG Basel|476|
Die Mächte der Zukunft: Gewinner und Verlierer in der Welt von morgen|Helmut Schmidt|||20/02/2006|Goldmann Verlag|240|9783442153787
Die Müglitztalbahn|Reiner Preuß||Eisenbahn|1985|Transpress, Berlin|174|
Die Nackten und die Toten|Norman Mailer||Militaria||Bertelsmann Club GmbH|703|
Die neue Ordnung auf dem alten Kontinent|Philipp Ther||Europe|2014||430|9783518424612
Die Orchideen Sachsen-Anhalts: Verbreitungsatlas|Horst Kallmeyer, Heinz Ziesche|||1996|Spektrum Akademischer Verlag|76|333461073X
Die Patin|Gertrud Höhler||Germany|2012|Orell Füssli Verlag|295|9783280054802
Die philosophische Hintertreppe|Wilhelm Weischedel||Philosoph - Geschichte|1994|dtv Verlagsgesellschaft|300|9783423300209
Die purpurnen Flüsse|Jean-Christophe Grangé|||2006|Süddeutsche Zeitung|330|9783866152595
Die Radiotrinkerin|Max Goldt|||1993|Heyne|156|9783453063730
Die Radiotrinkerin. Ausgesuchte schöne Texte|Max Goldt|||1991|Haffmans|0|9783251011124
Die Reise zum Stern der Beschwingten|Gerhard Branstner|||1983|VEB Hinstorff Verlag Rostock|198|
Die Sage von der Lüneburger Salzsau|Heinz-Joachim Draeger|||2013|Verlag Marie Leidorf GmbH, Rahden/Westf.|21|9783867570015
Die Sagen von Mittelerde: Das Buch der verschollenen Geschichten 1+2, Das Silmarillion, Handbuch der Weißen von Mittelerde|J. R. R. Tolkien, Wolfgang Krege|||1999|Klett-Cotta||9783608935219
Die Satanischen Verse|Salman Rushdie|||1989|Artikel 19 Verlag|543|
Die Schmalspurbahn Radebeul Ost-Radeburg|Wolfram Wagner||Eisenbahn|1989|GGV Dresden|52|
Die schrecklichen Kinder der Neuzeit: Über das anti-genealogische Experiment der Moderne (suhrkamp taschenbuch)|Peter Sloterdijk|||06/07/2015|Suhrkamp Verlag|489|9783518466032
Die schönsten deutschen Spielkarten|Hellmut (Hrsg.) Rosenfeld, Erwin (Hrsg.) Kohlmann|Insel-Bücherei (Band 755)||1964|Insel Verlag Verlag|51|
Die Sehnsucht nach Licht|Kati Naumann|||2022|HarperCollins Hardcover|414|9783365001172
Die Sicherheit|Reinhard Grimmer||Germany (East)|2003|Edition Ost|668|9783360010445
Die Sirenenbraut|Gianni Rodari|bb (Band 501)||1982|Aufbau-Verlag Berlin und Weimar|214|
Die Strudlhofstiege oder Melzer und die Tiefe der Jahre|Heimito von Doderer|||1996|Dtv|908|9783423122474
Die sächsische IV K|Wolfram Wagner, Reiner Scheffler||Eisenbahn|1991|Traditionsbahn Radebeul e.V.|52|
Die sächsische VI K|Claus Schuchardt||Eisenbahn|1983|DMV der DDR|48|
Die sächsische VII K|Wolfram Wagner, Reiner Scheffler||Eisenbahn|1993|Bufe-Fachbuch-Verlag, Egglham|62|3922138470
Die sächsischen Schmalspurlokomotivgattungen II K (alt), III K und V K|Reiner Scheffler, Wolfram Wagner||Eisenbahn|1985|DMV der DDR|31|
Die Ted-Galerie|Volker Brummig, Volker Zähme|||1997|DuMont Reiseverlag, Ostfildern|127|9783770141623
Die Troika|Markus Wolf|||01/01/1990|Claassen|352|3351014503
Die verlorene Erde. Die Heimkehr 01.|Orson Scott Card|||04/1993|Bastei-Lübbe|349|9783404241675
Die Verschwiegenheit der Lady Anne|Saki|Bibliothek von Babel||1989|Goldmann TB|130|9783442087075
Die Verurteilung des Lukullus|Paul Dessau, Bertolt Brecht|||1960|Philipp Reclam jun. Leipzig|48|
Die Verwandten des Zauberwürfels|Wolfgang Hintze||Mathematik|1985|VEB Deutscher Verlag der Wissenschaften, Berlin|143|
Die Verwundung|Böll Heinrich|||1983|Lamuv Verlag Bornheim-Merten|222|
Die Vielfalt der Freilandpyramiden in den Regionen Zwickau - Chemnitz - Döbeln|Andreas Herklotz|||2021|Selbstverlag|185|
Die Wasserstoffsonate|Iain Banks|||14/07/2014|Heyne|704|9783453315464
Die weiße Rose|B. Traven|||1962|Rowohlt Tb.|198|
Die Welt der Spielkarte. Eine Kulturgeschichte|Detlef Hoffmann|||1972|München. Hugendubel 1983.|195|3880341974
Die Windbergbahn|Jürgen Schubert||Eisenbahn|1982|Transpress, Berlin|167|
Die Wissenschaftselite Ostdeutschlands. Feindliche Übernahme oder Integration?|Arno Hecht|||2002|Faber & Faber, Leipzig|311|3932545923
Die Wohlgesinnten ,Marginalienband|Jonathan Littell, Doris Heinemann, Judith N. Klein, Jürg Altwegg, Wiebke Irlenkaeuser|||23/02/2008|Berlin Verlag|112|9783827007896
Die Würde des Menschen ist ein Konjunktiv: Neue Sprachglossen|Wiglaf Droste||Satire, German|2013|edition TIAMAT|192|9783893201754
Die Zeit und ihre Messung|F. S. Sawelski|||1977|VEB Fachbuchverlag Leipzig|269|
Die zweite Invasion der Marsmenschen|Arkadi und Boris Strugatzki|Volk und Welt Spektrum (Band 90)||1976|Volk und Welt, Berlin|110|
Digitales Business|Bill Gates|||1999|Heyne|487|3453158598
DinoPark|Michael Crichton|||04/1993|Knaur|535|9783426600214
DLG-Bier-Guide: Der Genussführer für deutsche Bierkunst - Ausgezeichnete Biere & Brauereien|DLG e.V.|||2007|DLG-Verlag|128|9783769006810
Do Androids Dream of Electric Sheep? (Panther Science Fiction)|Philip K. Dick|||09/1972|Voyager|192|9780586036051
Donald Duck Klassik Album 1|Carl Barks, Walt Disney||Comic books, strips, etc|1989|Ehapa Comic Collection|200|9783770403233
Downbelow Station|C.J. Cherryh|||1981|DAW Books|432|071125002750
Drei Quellen und drei Bestandteile des Marxismus / Karl Marx / Über den Staat|Lenin|||1980|Dietz Verlag Berlin|96|
Dubliner (suhrkamp taschenbuch)|James Joyce, Dieter E. Zimmer||||Suhrkamp Verlag AG|240|9783518389546
Dune Messiah|Frank Herbert||Fiction|1980|Berkley|278|0-425-04379-7
Dunkle Zahlen|Matthias Senkel|||09/02/2018|Matthes & Seit|488|9783957575395
Durchbruch|Pierre Christin, Andreas C. Knigge|||1990|Carlsen Verlag|79|9783551722782
Dürer|H. Knackfuss|||1941|Velohagen&Klasing in Bielefeld und Leipzig|74|
Ebert's Bigger Little Movie Glossary|Roger Ebert||Performing Arts|05/1999|St. Martin's Griffin|240|9780836282894
Eclipse Corona: Dritter Roman der Eclipse-Trilogie|John Shirley|||08/1994|Heyne|457|9783453044616
Edelsteine|Heiner Vollstädt, Rolf Baumgärtel||Mineralogie|1980|VEB Deutscher Verlag für Grundstoffindustrie|260|
Eden|Stanislaw Lem|||1971|Volk und Welt, Berlin|323|
EDEN CITY, die Stadt des Vergessens|Reinhard Kriese|||1987|Neues Leben, Berlin|264|3-355-00565-7
Ego : d. geheimen Jahre im Leben e. Mannes. Roman 3784421105|Robert Sabatier|||1986|München , Wien : Langen Müller,,|701|3784421105
Ein Araber und ein Deutscher müssen reden|Hans Rath, Hamed Abdel-Samad|||01/02/2016|Rowohlt Taschenbuch|128|9783499631986
Ein Cyborg fällt aus|Frank Herbert||SF||Wilhelm Heyne Verlag,|204|3453302613
Ein Fisch namens Wanda. Drehbuch|Charles Crichton John Cleese|||||0|9783251010387
Ein Geschenk der Kultur|Iain Banks|||1992|Heyne|286|9783453058279
Ein Mann Will Nach Oben|Hans Fallada||||||9783499113161
Ein Menschenschicksal und andere Erzählungen|Michail Scholochow|||1970|Verlag Kultur und Fortschritt, Berlin|86|
Ein Pyrenäenbuch / Auswahl 1920 bis 1923|Kurt Tucholsky|||1976|Verlag Volk und Welt Berlin|579|
Ein Rittersmann von Schrot und Korn|Henry Böhm||Comic books, strips, etc|1995|Eulenspiegel|221|9783359007586
Ein Schiffsmodell entsteht|Dieter Johansson|Modellsportbücherei (Band 4)|Modellbau|1979|transpress|96|
Ein Sonntag am Pool in Kigali|Gil Courtemanche, Riek Walther|||01/01/2004|Kiepenheuer & Witsch|320|3462033689
Ein Tag im Leben des Iwan Denissowitsch|Alexander Solschenizyn|||1970|Deutscher Taschenbuch Verlag München,,|130|3423007516
Ein vernunftbegabtes Tier|Robert Merle|||1967|Aufbau-Verlag Berlin und Weimar|462|
Eine kurze Geschichte der Zeit: Die Suche nach der Urkraft des Universums|Stephen Hawking|||01/01/1991|Rowohlt Tb.|238|9783499188503
Eine kurze Geschichte von fast allem|Bill Bryson, Sebastian Vogel|||12/09/2005|Goldmann TB|688|9783442460717
Eine praktische Einführung in die Informatik mit Bash und Python|Tobias Häberlein||Informatik|2011|Oldenbourg Wissensch.Vlg|205|9783486704235
Eine Revolution und ihre Folgen|Eckhard Jesse||Civil rights|2000|Ch. Links Verlag|328|9783861532231
Einfach besser fotografieren: Stilleben- und Nahfotografie|Michael Busselle|||1999|Laterna magica|127|9783874677530
Einführung in die Bakteriologie|Paul Singleton|UTB (Band 1.817)||1995|Quelle & Meyer|294|3825218171
"Einführung in Lenins Schrift ""Der Imperialismus als höchstes Stadium des Kapitalismus"""|Alfred Lemnitz|||1977|Dietz Verlag Berlin|62|
Einführung in Python 3|Bernd Klein||Informatik|2017|Hanser GmbH & Company, Carl|537|9783446452084
Einheimische Minerale|Heiner Vollstädt||Mineralogie|1971|Verlag Theodor Steinkopff Dresden|342|
Einmal Rupert und zurück|Douglas Adams||Sciencefiction|01/1995|Heyne|284|9783453082304
Einmischungen - Ausgewählte Zeit-Artikel von 1983 bis heute|Helmut Schmidt|||2010|Hoffmann und Campe|447|9783455975673
Eisenbahnatlas Deutschland|Verlag Schweers + Wall||Eisenbahn|2005|Schweers & Wall|207|9783894941345
Elbisch|Helmut W. Pesch||Fiction|24/10/2006|Bastei Lübbe (Bastei Verlag)|412|9783404204984
Elementary Cryptanalysis|Abraham Sinkov, Paul L. Irwin||Computers, Kryptographie|1968|Cambridge University Press|189|9780883856222
Enigma|Robert Harris, Christel Wiemken||English fiction|1996|Heyne Verlag|378|9783453115934
Entering Germany: Photographs, 1944-1949|Tony Vaccaro||Fotokunst|2001|Taschen|192|9783822859087
Enthüllung|Michael Crichton|||2008|Goldmann Verlag|541|9783442468126
Entwickeln. Das Entwickeln von Schwarzweiß- Aufnahmematerial.|Norbert Göpel|||1987|VEB Fotokinoverlag Leipzig|116|3731100487
Entzifferte Geheimnisse|Friedrich L. Bauer||Kryptographie|1995|Springer-Verlag Berlin Heidelberg|391|
Erfolgreich fotografieren. Technik, Motivwahl, Verfremdungen|unbekannt|||1991|Gondrom|240|9783811215702
Erich Honecker: Eine Biographie|Jan N. Lorenzen|||01/10/2001|Rowohlt Taschenbuch Verlag|240|9783499611810
Erich Kleinsteuber: Kleintiere im Terrarium - Wirbellose halten, züchten, kennenlernen|Erich Kleinsteuber|||1989|Urania Verlag Leipzig , Jena , Berlin : Urania-Verl.,|192|3332002732
Erik der Wikinger|Peter Lietzenburger|||02/1991|Bastei Lübbe|236|9783404132782
Erinnerungen. Ein amerikanisches Leben|Ronald Reagan|||01/09/1998|Propyläen Verlag|781|3549072279
Erlebnis Geologie|Robert Lauterbach||Geologie|1981|Edition Leipzig|196|
Ernst Thälmann|Hannes Heer|rororo Monographien (Band 230)||1975|Rowohlt Taschenbuch Verlag|153|
Ernst Thälmann. Eine Biographie|AK|||1980|Dietz Verlag Berlin|804|
Erschütterung: Über den Terror|Gila Lustiger|||01/03/2016|Berlin Verlag|160|9783827013323
Erwachsenensprache|Robert Pfaller|||23/11/2017||247|9783596298778
Erzählungen von der deutsch-deutschen Grenze|Cornelia Röhlke||Eichsfeld (Germany)|2001|Sutton Verlag GmbH|127|9783897023451
Es soll nie wieder vorkommen|Bruno Jonas|||1999|Goldmann|0|9783442150069
Es war ein König in Thule|AK|||1999|Aufbau Tb|154|3746660343
Ewig leben die Vulkane|Franz Jacobs, Peter Hesse||Geologie|1987|Neues Leben|268|3355004820
Excession|Iain Banks||English fiction|1997|Orbit Books|451|9781857234572
Expedition Ra|Thor Heyerdahl|||1973|Verlag Volk und Welt Berlin|437|
Expert C Programming|Peter Van Der Linden||Informatik|1994|Prentice Hall Professional|353|9780131774292
Extra Life: Coming Of Age In Cyberspace|David Bennahum|||08/10/1999|Basic Books|252|9780465012367
Eyes Wide Shut|Stanley Kubrick, Frederic Raphael, Arthur Schnitzler|||05/08/1999|Fischer|190|9783596143696
Fabelhafte Geschichten|John R. R. Tolkien||Fairy tales|1983|Klett-Cotta|160|9783608950342
Fahrenheit 451|Ray Bradbury|||1974|Das neue Berlin|206|
Fantasy: Theorie und Geschichte einer literarischen Gattung|Helmut W. Pesch|||1982|Twentysix|340|9783740730505
Faszination Computerschach|Ewgenij Gik|||1991|W. Rau, Ddf.|104|379190437X
Faszination der Nähe|Horst Schröder||Fotografie|1987|Fotokinoverlag, Leipzig 1987.,|156|3731100541
Feanors Fluch: Erzählung (dtv Literatur)|John R Tolkien, Wolfgang Krege|||1991|Dtv|128|9783423113359
Feersum Endjinn|Iain M. Banks|||1996|Bantam Books|309|076783005990
Feliks Dzierzynski|Nikolai Machwiladse|||1975|Verlag Progreß Moskau||39100516
Fermats letzter Satz|Simon Singh||Fermat's last theorem|2000|dtv Verlagsgesellschaft|364|9783423330527
Ferne nahe Welt|Wolf Spillner|||1981|VEB Deutscher Landwirtschaftsverlag Berlin|139|
Figürliches Zeichnen leicht gemacht|Hans Witzig|||1996|Falken||9783635603716
Finis Germania|Rolf Peter Sieferle|||17/02/2017||104|9783944422503
Fisch- und Gewässerkunde|Wolfgang Zeiske, Jürgen Plomann||Ökologie|1982|Sportverlag Berlin|216|
Fischer Panorama '70|Unbekannt|||01/09/1999|FISCHER Taschenbuch|64|9783596502707
Flimmernde Steppe|Michail Scholochow|||1958|Verlag Kultur und Fortschritt, Berlin|376|
Flimmernde Steppe|Michail Scholochow|||1958|Verlag Kultur und Fortschritt, Berlin|376|
Flug zum Alpha Eridani|Lothar Grünewald (Hrsg.)|||1970|Verlag Kultur und Fortschritt, Berlin|298|
Flugzeug-Plastmodellbau|Hans-Joachim Mau|Modellsportbücherei (Band 9)|Modellbau|1982|transpress|108|
Fortsetzung folgt|Andreas C. Knigge, Gerd Lettkemann||Comic books, strips, etc|01/1986|Ullstein Taschenbuchvlg.|399|354836523X
Fossilien|Günter Krumbiegel, Harald Walther|||1977|VEB Deutscher Verlag für Grundstoffindustrie|336|
Fossilien aus dem Paläozoikum|Rudolf Prokop, Vladimir Krb|||1981|Artist, Prag|224|
Fossilien: Über 500 Versteinerungen|Helmut Mayr|||2006|BLV Buchverlag|256|9783835401204
Fotoatlas der Mineralien und Gesteine. Das große Bestimmungsbuch in Farbe|Rupert Hochleitner||Mineralogie|1981|Graefe und Unzer Verlag|237|3774224234
